,Education_level,Full_time_job,Living area,Age,Gender,Children,Age_group,Question_basicincome_awareness,Question_basicincome_vote,Question_basicincome_effect,Question_basicincome_argumentsfor,Question_basicincome_argumentsagainst,Job_title,Country,Country_code
8345,medium,yes,urban,35 years old,Male,YES,26_39,I have never heard of it,I would vote for it,‰Û_ spend more time with my family,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit,automatic data processing customer liaison adp customer liaison,Poland,PL
8346,medium,yes,urban,42 years old,male,nO,40_65,I have never heard of it,I would not vote,None of the above,None of the above,None of the above,data architect,Poland,PL
8347,low,yes,urban,45 years old,male,YES,40_65,I know something about it,I would probably vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It encourages financial independence and self-responsibility,It might encourage people to stop working,data operations director,Poland,PL
8348,no,no,rural,35 years old,Fem,yES,26_39,I have never heard of it,I would vote for it,‰Û_ stop working,It creates more equality of opportunity,None of the above,,Poland,PL
8349,medium,yes,Non-Rural,46 years old,male,NO,40_65,I know something about it,I would probably vote for it,‰Û_ gain additional skills,It creates more equality of opportunity,Only the people who need it most should get something from the state,databases software consultant,Poland,PL
8350,,no,urban,2001,male,nO,14_25,I know something about it,I would probably vote for it,‰Û_ look for a different job,It reduces anxiety about financing basic needs,It is impossible to finance,,Poland,PL
8351,medium,no,urban,65 years old,Fem,yES,40_65,I know something about it,I would vote for it,A basic income would not affect my work choices,It creates more equality of opportunity | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is against the principle of linking merit and reward | It is impossible to finance,,Poland,PL
8352,medium,no,urban,1993,male,NO,14_25,I have heard just a little about it,I would probably vote against it,‰Û_ work less,It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,It increases dependence on the state | Only the people who need it most should get something from the state,,Poland,PL
8353,medium,yes,Non-Rural,39 years old,female,yES,26_39,I understand it fully,I would vote for it,A basic income would not affect my work choices,"It increases solidarity, because it is funded by everyone",None of the above,database consultant,Poland,PL
8354,medium,yes,urban,60 years old,Male,yES,40_65,I understand it fully,I would vote for it,‰Û_ work less,"It increases solidarity, because it is funded by everyone",It is impossible to finance,data warehouse developer,Poland,PL
8355,medium,yes,urban,55 years old,male,yES,40_65,I have never heard of it,I would probably vote against it,‰Û_ work less,None of the above,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward | Only the people who need it most should get something from the state | It increases dependence on the state,sql database administrator,Poland,PL
8356,high,yes,Country,37 years old,Fem,YES,26_39,I know something about it,I would probably vote for it,‰Û_ gain additional skills,None of the above,It might encourage people to stop working | It is impossible to finance | It increases dependence on the state | Only the people who need it most should get something from the state,database development and administration project manager,Poland,PL
8357,medium,yes,urban,33 years old,Male,yES,26_39,I have never heard of it,I would not vote,‰Û_ gain additional skills,It reduces anxiety about financing basic needs,It is impossible to finance,clinical data analyst,Poland,PL
8358,no,no,rural,1996,female,NO,14_25,I have heard just a little about it,I would vote for it,None of the above,None of the above,It is against the principle of linking merit and reward,,Poland,PL
